+====================+===================+=============================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                         |
+====================+===================+=============================================================================+
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_mem/resuming_q_reg[0]/D             |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_mem/FSM_sequential_state_q_reg[1]/D |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_mem/halted_q_reg[0]/D               |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_mem/FSM_sequential_state_q_reg[0]/D |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_csrs/data_q_reg[1][4]/D             |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_csrs/data_q_reg[0][19]/D            |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_csrs/data_q_reg[0][18]/D            |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_csrs/data_q_reg[0][2]/D             |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_csrs/data_q_reg[0][12]/D            |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_csrs/data_q_reg[0][9]/D             |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_csrs/data_q_reg[0][26]/D            |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_csrs/data_q_reg[0][7]/D             |
| clk_50_unbuf       | clk_50_unbuf      | u_ucup_top/u_soc/g_dm_top.u_dm_top/i_dm_csrs/data_q_reg[1][5]/D             |
